Title,Abstract
IoT-based eHealth using blockchain technology: a survey,"The eHealth sector has witnessed significant growth due to technological advancements, facilitating care delivery in patients' homes and moving away from traditional hospital settings. Blockchain and the Internet of Things (IoT) play pivotal roles in enhancing healthcare services, offering features such as remote patient monitoring, streamlined electronic medical record (EMR) management, drug traceability, and effective disease control, particularly during events like the COVID-19 pandemic. The growing utilization of IoT devices brings about security challenges, including concerns related to data integrity and device authentication. This paper proposes the integration of blockchain technology as a robust solution. Leveraging its decentralized and tamper-resistant features, blockchain establishes trust among diverse IoT devices, ensuring the integrity of IoT data. Additionally, smart contracts enhance device authentication, fortifying overall security by addressing vulnerabilities associated with centralization. Regarding the management of eHealth, this survey begins with an overview of the industry, highlighting IoT-related challenges in healthcare. It explores various IoT applications in eHealth and discusses how blockchain can effectively address obstacles in healthcare management through IoT. Notably, the paper provides insights into examining consensus algorithm parameters within blockchain systems, clarifying the methodology used to assess and optimize these critical components. The survey extends to a thorough review of existing research on integrating blockchain-based IoT in eHealth. Finally, it presents an overview of challenges and potential solutions for implementing blockchain-based IoT in the eHealth sector. This comprehensive survey aims to empower stakeholders by providing insights to enhance patient care in this dynamic and evolving field."
Mapping the landscape of blockchain technology: a bibliometric analysis,"Blockchain technology has experienced a meteoric rise in popularity, revolutionising industries and igniting intense research efforts around the world. The intellectual environment surrounding research on blockchain technology has been meticulously analysed in this bibliometric paper. We seek to shed light on the major trends, research themes, and key contributors influencing the blockchain research domain by utilising comprehensive bibliometric data from Dimension.ai (An Open Access Database). Our analysis spans between the year 2019 to July 2023 and includes a wide range of scholarly articles. Initially, a screening process was employed to assess 16,479 published articles against our inclusion criteria based on keyword search. Finally, 11,593 articles met the criteria and were included in our analysis. We offer a thorough overview of the development and dynamics of blockchain research using bibliometric indicators like publication counts, citation counts, co-authorship networks, and patterns of international collaboration, with visualizations generated using VOSviewer. Furthermore, our analysis highlights the distribution of research efforts distributed globally, demonstrating the participation of various nations and institutions. We investigate the degree of international cooperation, illuminating the global interconnectedness of researchers in the advancement of blockchain knowledge. In conclusion, this paper provides a thorough overview of the state of the research on blockchain technology, offering insightful information to both academics and business stakeholders. This paper elucidates the evolution of research on blockchain technology by outlining the intellectual landscape, and it also provides a road map for future efforts to realise the transformative potential of blockchain technology."
Salsal: blockchain for vetting cultural object collections,"Many modern cultural object collections suffer from the problem of being obtained in unethical and illegal circumstances. Additionally, information about collections, including their status, object descriptions, and other data need up-to-date information presented to users. We propose a novel blockchain tool called Salsal that enables the vetting of objects, individually or as part of more extensive collections, to meet required ethical and legal guidelines while informing users about relevant information regarding collections. Blockchain provides a better and more rapid way for users to know about collections using a decentralized and immutable ledger technology. Blockchain can be used to incentivize or even pressure collections to vet their objects for ethical and legal guidelines that can benefit the public who use object collections. The prototype software we have made is presented and compared to other blockchains, with code and demonstration provided. We present how our blockchain can enable benefit, providing a useful vetting process for cultural objects, and allowing a user community to contribute to collections in a transparent and secure manner."
Decentralization System Using Smart Blockchain with Secure Hash,"Blockchain decentralization is a reference to decision making and transferring of data control. It is derived as a distributed network from a centralized network, either in an individual, organization, or group. The decentralized system reduces the user’s trust level, which has to be shown by one another. Instead, they confine the functionality of the system network to be degraded. This determines the ability to control the decentralized system using smart contracts. In this paper, we propose a blockchain decentralization system on the smart contracts produced by the blocks. This is called smart blockchain. Smart blockchain or Smart chain is the new generation of blockchain network that allows one or more than a smart contract. The decentralized system of smart contracts here collects the data accurately and flawlessly. The decentralized nature of smart blockchain ensures that there is no single point of control or failure, making it resistant to tampering, hacking, and other malicious activities. Simultaneously this decentralization method helps store and register the data in new blocks. The complete process of a transaction is automatic, without any human interaction. The blockchain used in networks like Ethereum, etc., can be entirely replaced by the smart blockchain or smart chain. The deployment and registration done in smart contracts are overcome with the smart blockchain. We have worked on the four processes in this paper. They are new_block, new_transaction, last_block, and hash. Using the flask framework, the requests are communicated and satisfied on the HTTP Protocol. The further assessment of this decentralized system enabling the smart blockchain can bring a difference in application research, such as Smart Homes using IoT Technology. Smart blockchain technology evaluates security, complexity, privacy, integrity, and implementation protocols. Additionally, we experimentally show the protocols’ outperformance towards multiple blocks of a blockchain."
Data Mesh Meets Blockchain,"Effective dataset management is crucial for enterprises to make informed decisions and remain competitive. However, centralized dataset management approaches often result in poor scalability, unclear governance, inaccessible data silos, and duplication of efforts. This paper proposes a distributed blockchain-based framework inspired by the data mesh architecture to address these challenges. Our proposed framework leverages blockchain’s decentralized nature to enable efficient and transparent dataset sharing across enterprise business domains. By turning datasets into digital assets and business domains into peers, our framework utilizes blockchain smart contracts to allow business domains to view, request, and share datasets. In this paper, we describe the details of our framework, and we analyze it from scalability, accessibility, security, and data governance perspectives. To validate our framework, we provide a proof-of-concept implementation with a publicly available source code."
Quantum blockchain architecture using cyclic QSCD and QKD,"Quantum blockchain (QBC) is a novel decentralised concept anticipated to offer an alternative to the classical blockchain to provide transaction security and transparency. The QBC frameworks can offer the most tangible advantage against the security threat posed by quantum computers on the classical blockchain. The proposed scheme offers a new QBC framework in which voting is performed by the Quantum-Secured Yet Another Consensus (QSYAC) algorithm to create a fast decentralised QBC. QSYAC algorithm is also used to ensure the reliability and fault tolerance of the blockchain framework. The classical information and the chaining are provided using a single qubit state and quantum entanglement. The transactions are signed via a cyclic permutation of the computational distinguishability of the quantum states problem, and quantum key distribution protocol is used for secure key sharing. Assuring the security of the key and the blockchain, the suggested model is more effective and safe from potential quantum assaults than earlier systems."
The Mediating Effect of Self-Efficacy in the Relationship Between Parental Communication and Digital Addiction,"In recent years, the excessive use of digital technologies has led to the emergence of digital addiction at earlier ages. However, studies explaining the causes of digital addiction are limited. The purpose of the current study was to investigate the links between maternal communication, paternal communication, and digital addiction, and whether these relationships were mediated by self-efficacy. It was also tested whether these links were moderated by gender. The data were collected from 601 middle school students aged 11–14 (61.7% girls, Mage = 12.23 SD = 1.03). The participants completed the Digital Addiction Scale for Children, Adolescent Family Process Measure, General Self-Efficacy Scale, and Demographic Questionnaire. Study hypotheses were tested by structural equation modeling. Findings showed that paternal communication was directly associated with self-efficacy, and also indirectly with digital addiction, mediated by self-efficacy. However, maternal communication was only directly associated with digital addiction. Moderation tests by gender were significant. The indirect effect of maternal communication on digital addiction was significant only for girls. The results suggest that the development of programs that will support parents' communication with their children and increase children's self-efficacy may be beneficial in preventing digital addiction. The findings may also help mental health professionals to understand the effects of parent–child communication on children's digital addiction."
Face-to-face more important than digital communication for mental health during the pandemic,"During the lockdowns associated with the COVID-19 pandemic, many people tried to compensate for limited face-to-face interaction by increasing digital communication. Results of a four-week experience sampling study in the German-speaking countries (N = 411 participants; k = 9791 daily questionnaires) suggest, however, that digital communication was far less relevant for lockdown mental health than face-to-face communication. Digital text-based communication (e.g., e-mail, WhatsApp, SMS) nevertheless was meaningfully associated with mental health, and both face-to-face and digital text communication were more predictive of mental health than either physical or outdoor activity. Our results underscore the importance of face-to-face communication for mental health. Our results also suggest that videoconferencing was only negligibly associated with mental health, despite providing more visual and audible cues than digital text communication."
Emoji as gesture in digital communication: Emoji improve comprehension of indirect speech,"As reliance on digital communication grows, so does the importance of communicating effectively with text. Yet when communicating with text, benefits from other channels, such as hand gesture, are diminished. Hand gestures support comprehension and disambiguate characteristics of the spoken message by providing information in a visual channel supporting speech. Can emoji (pictures used to supplement text communication) perform similar functions? Here, we ask whether emoji improve comprehension of indirect speech. Indirect speech is ambiguous, and appropriate comprehension depends on the receiver decoding context cues, such as hand gesture. We adapted gesture conditions from prior research (Kelly et al., 1999, Experiment 2) to a digital, text-based format, using emoji rather than gestures. Participants interpreted 12 hypothetical text-message exchanges that ended with indirect speech, communicated via text only, text+emoji, or emoji only, in a between-subjects design. Like that previously seen for hand gesture, emoji improved comprehension. Participants were more likely to correctly interpret indirect speech in the emoji-only condition compared with the text+emoji and the text-only conditions, and more likely in the text+emoji condition compared to the text-only condition. Thus, emoji are not mere decoration, but rather are integrated with text to communicate and disambiguate complex messages. Similar to gesture in face-to-face communication, emoji improve comprehension during text-based communication."
Effect of digital literacy on social entrepreneurial intentions and nascent behaviours among students and practitioners in mass communication,"Because journalism and mass communication have changed dramatically in the digital era, exploring alternative career paths for students and practitioners in mass communication may offer valuable insights for the future of the field. Considering the emphasis on decent work opportunities and responsible production practices outlined in the Sustainable Development Goals, this study evaluates the determinants of social entrepreneurial intentions and behaviours of students and practitioners of mass communication in Taiwan. A quantitative survey method is adopted. In total, 814 participants, consisting of 373 students and 441 practitioners, provided valid responses, which were analysed utilising structural equation modelling. The results in both samples indicate positive direct effects of perceived social support, perceived social awareness of peers, and digital literacy on social entrepreneurial intentions, and positive direct effects of digital literacy and social entrepreneurial intentions on social entrepreneurial behaviours. The study identifies digital literacy as a critical element for fostering social entrepreneurial intentions and behaviours. Moreover, educational implications and suggestions are also provided."
The digital power of the tower: digital communication technologies and dwelling experience in residential large urban developments,"Residential large urban developments are the dominant mode of housing development in many cities around the world. They introduce new technologies to the residential setting that reshape the dwelling experience. Using digital ethnography and in-depth interviews with residents of three residential large urban developments at the center of Israel, this paper portrays how the digital dimension is embedded in and reshapes the performance and experience of the housing environment. We argue the centrality of the digital dimension to the emergence of a distinctly different dwelling experience and the transformation of residential power relations in the city."
Intelligent patrol inspection of low code enabled electric power communication equipment based on digital transformation,"In order to meet the needs of digital development of power system and ensure the safety of power communication equipment, an intelligent patrol inspection method for power communication equipment with low code enabling based on digital transformation is proposed. Build an intelligent patrol platform for low code enabled power communication equipment based on digital transformation. The data acquisition module of the infrastructure layer scans the RFID tags on the communication equipment through the patrol personnel’s handheld devices to obtain the specific information of the current equipment. The UDT data transmission protocol of the data transmission module transmits the equipment information collected by the patrol personnel to the patrol application layer; The fault diagnosis module of patrol application layer uses convolutional neural network to analyze patrol data and complete fault detection of power communication equipment; The integrated component layer uses the application components developed by visual tools to enable the platform with low code through the low threshold platform development technology; The front-end service layer, supported by the technology of the integrated component layer, implements the simplification and configurable processing of front-end display results such as patrol results display, and views and manages the patrol results of the platform through the user terminal layer. The experiment shows that the method is accurate in data acquisition, fast in data transmission and high in fault diagnosis accuracy. It is a highly practical intelligent patrol method for power communication equipment."
A Model for Digital Education Management Information System Using Wireless Communication and BP Neural Networks,"With the popularity of wireless communication and different mobile intelligent terminals, digital education management information systems are becoming increasingly popular among students. The problem of modernized teaching has significantly influenced and altered teaching quality evaluation methodologies and models. However, the findings revealed that the existing intelligent teaching quality diagnostic still needs to improve design and execution. As a result, creating an education management information system is critical, and establishing a digital education management information system has become a critical undertaking. To address these problems, this research paper presents a model for a digital education management information system (DEMIS) that utilizes wireless communication and BP neural networks (BPNNs) to manage digital education in schools. The paper highlights the significance of wireless communication and DEMIS in modern education. The study employs a grey prediction model and a BP neural network model to predict the trend of education development. The DEMIS is set up using MATLAB simulation with management constraint parameters, and the sample data originate from 85 instructors’ digital education assessment ratings. The experiment is carried out in two parts: using the grey prediction model and the BPNNs, which verify the suggested method’s efficacy in managing digital education in schools. The experimental findings suggest that, by combining wireless communication and BPNNs, the system can handle the campus network’s information in a unified manner and give decision assistance to managers, which is very practicable. Therefore, the suggested DEMIS may effectively enhance students’ learning experiences and education quality."
"Corporate social responsibility communication in the ICT sector: digital issues, greenwashing, and materiality","Digitalization brings with it new social and governance issues and heightened responsibility, particularly for corporations. In recent years, society has demanded more transparency from companies about digital technology practices, oversight, and impacts. One sector that sharpens the view on these dynamics is information and communication technology (ICT). This study introduces for the first time an examination of corporate social responsibility (CSR) discourse on digital issues among large ICT firms by using signaling theory to analyze a broad set of media (sustainability, ESG, CSR, integrated, impact, purpose, consolidated management, and annual reports as well as issue briefs and webpages). It clarifies how ICT firms present materiality—a reporting concept associated with fair representation and relevance of information—in their CSR reporting on digital topics. It then discusses implications for greenwashing and makes recommendations for improving disclosure credibility.Graphical Abstract"
Tactile Codec with Visual Assistance in Multi-modal Communication for Digital Health,"In the digital health, with the development of communication, medical information in all modalities is growing exponentially. Therefore, an effective communication for multi-modal data including tactile and visual information is paramount. In this paper, we propose a novel method to compress the tactile video data from GelSight sensors for the applications of digital health. Firstly, our method combines the visual and tactile modalities to extract the saliency information for the tactile videos. A target recognition network is designed as the visual assistance, which helps tactile videos to extract the effective information frames by recognizing whether objects are touching or not. Secondly, we design a special coding for inter- and intra-frame prediction to further extract the saliency information and compress the tactile signal. Intra-frame prediction utilizes a dynamic group of pictures (GOP) strategy to reduce time redundancy. And intra-frame prediction based on low-rank sparse decomposition (LRSD) is then used to further achieve efficient compression. Finally, Through extensive evaluation of metrics, such as peak signal-to-noise ratio (PSNR), structural similarity index (SSIM), and learned perceptual image patch similarity (LPIPS), our method obtains the better results than advanced video coding (AVC) and high efficiency video coding (HEVC). Our method achieves an average bitrate savings of 23.6% compared to HEVC and 61.4% compared to AVC. The results show that the proposed method can greatly compress the amount of haptic data with high reconstruction quality."
Linear digital precoding technology in massive multiple input multiple output wireless communication system,"The rapid development of wireless communication in today's society is facing the development bottleneck of increasingly tense spectrum resources. As the key technology of 5G technology, Massive Multiple Input Multiple Output (MMIMO) technology has been widely studied and applied in recent years. It is expected to bring progress to wireless communication systems. The key characteristic of MMIMO is its large antenna array that results in a high dimension of the wireless system channel. This article examines the use of precoding technology in large-scale multi-antenna MIMO systems to address the issue of Common Channel Interference (CCI). The study starts by introducing the concept of linear digital precoding and provides mathematical demonstrations of three linear digital precoding schemes. The performance of these schemes is then simulated and analyzed using MATLAB, with the results showing a significant improvement in the bit error performance and combining rate of the MIMO system."
Digital information and communication technologies in political education in universities: conflict of pragmatic and civilizational goals,"The article aims to determine the correspondence of the value orientations of students and teachers to the pragmatic and civilizational goals of political education in the process of introducing digital information and communication technologies for sustainable development. The study involved 92 students of the School of Marxism, TongJi University, who are receiving political education at the master’s level in the speciality “Political Science” using digital mobile and cloud information and communication educational technologies, and 83 teachers of political disciplines of this university. The authors used the Portrait Values Questionnaire (PVQ) and the Eysenck Personality Questionnaire (EPQ). The accumulation, sorting and visualization of information in the course of the study were carried out in the Microsoft Excel program. The statistical significance and significance of the results of the study were assessed based on the Student’s t-test, which was calculated using the online calculator Social Science Statistics. Statistically significant (p < 0.05) differences between the motivational educational values of students and teachers have revealed: the teachers expressed conformity largely than the students (4.6 ± 0.2 and 3.4 ± 0.1 points, respectively) and the importance of traditions (4.9 ± 0.1 and 3.5 ± 0.3 points), and the students - independence (4.5 ± 0.2 vs. 3.3 ± 0.1 points). According to the neuroticism scale, the indicators of the teachers (15.6 ± 2.4) are at the upper limit of the norm and statistically significantly (p < 0.05) exceed the hands of the students (10.2 ± 1.0). The difference in the hierarchy of values of students receiving political education using digital information and communication technologies and teachers of political disciplines was revealed, reflecting the presence of a conflict between the pragmatic and civilizational goals of political education in the process of introducing digital information and communication technologies, primarily about the opposition of traditions and universalism, conformism and the desire for power and achievement."
Synchronous restoration of video key frame loss based on digital media communication protocol,"This paper presents a synchronous recovery method for video key frame loss, aiming to analyze the experimental video through digital media feature extraction algorithm. By analyzing and designing effective communication protocols in real-time embedded systems, video data can be better processed. On this basis, key frames are restore synchronously through digital media communication protocol, and verified by comparing with other algorithms. Experimental results shows that the recall and precision of this algorithm for key frame extraction are 90.1% and 100% respectively, Among the three algorithms compared, the recall and precision of video key frame extraction based on single feature algorithm are the highest, 80.2% and 85.9% respectively. At the same time, the synchronization restoration time of this algorithm for lost key frames is 12.2 s, which took less time than other algorithms. It can be seen that the algorithm based on digital media feature extraction is of great significance for synchronous restoration of video key frame loss. It can be seen that the algorithm based on digital media feature extraction is of great significance for the synchronous recovery of video key frame loss, and can effectively promote the development of video data diversity and the improvement of information interaction. Under the digital media communication protocol, it can effectively synchronize the audio and video receiving end of multimedia information, and then recover and predict the lost frames in the video sequence. First, it can enhance the internal characteristics of video frames and the similarity and consistency of images between frames. Secondly, it can significantly improve the accuracy and efficiency of video data processing. Finally, from the perspective of practical development, the synchronous recovery of video key frame loss based on digital media communication protocol can effectively promote the sustainable development of media data, which has certain social value and practical significance in the current era of big data."
"Digital communication strategies used by private companies, entrepreneurs, and public entities to attract long-stay tourists: a review","Globalization and the changes in the technological and social industries have facilitated international mobility in such a way that the distinctions between tourism and other forms of mobility closer to migration have practically become blurred. Improvements in digital communication have promoted people’s search for a better quality of life in terms of health, work, leisure, and other aspects. New forms of communication have started to gradually displace the more conventional media. In this context, private companies, entrepreneurs, and public entities have grown aware of the importance of digital communication to achieve a greater scope in their population attraction policies. In this context, the present study aims to identify which digital communication strategies are used to generate interest and attraction to the destination. In our Systematic Literature Review (SLR), we examine the relationship between the terms “lifestyle migration” and “digital communication”, obtaining 294 articles found in Web of Science (WOS) and Scopus. After the analysis, we found 16 potential articles that were linked to the research objectives. The results of the methodology are classified according to the different digital communication actions identified, namely (i) Social Network Relationship; (ii) Digital Marketing, and (iii) Virtual Reality and Augmented Reality. Therefore, this this study contributes to link lifestyle migration and digital communication to destination management offices, companies and entrepreneurs. The paper finishes with a discussion of theoretical and practical implications of research on digital communication strategies in the field of long-stay tourism."
Effects of robot-assisted digital storytelling on hospitalized children’s communication during the COVID-19 pandemic,"This study proposed a robot-assisted digital storytelling approach to reduce hospitalized children’s anxiety about intravenous injections and to improve their therapeutic communication and therapeutic engagement. In order to verify the effectiveness of the robot-assisted digital storytelling approach, a randomized controlled study was implemented. A total of 47 children from a regional hospital were randomly assigned to an experimental group (n = 21) and a control group (n = 26). The experimental group adopted the robot-assisted digital storytelling approach in health education for intravenous injections, while the control group received video-based health education. The study results indicated that the proposed robot-assisted digital storytelling approach not only reduced the children’s anxiety, but also had positive effects on children’s communication about intravenous injections, emotions during hospitalization, and therapeutic engagement. As a consequence, it is suggested that educators and researchers consider adopting robot-assisted digital storytelling to facilitate nursing clinical health education for children."
Internet of things connecting digital world through visible light communication,"This study focuses on the use of Light Emitting Diodes (LEDs) for lighting, incorporating Visible Light Communication (VLC) technology for data transmission. The Internet of Things (IoT), an inventive technology can connect physical objects to the digital world through VLC. In smart environments, IoT interacts with Wireless Sensor Networks (WSN) and Mobile Ad-Hoc Networks (MANET), enhancing user experience and economic viability. This interaction forms new MANET-IoT systems in VLC-based networks, offering increased user mobility, energy saving and reduced network deployment costs. This work compares the performance of Light Fidelity technology of VLC and Radio Frequency (RF) technology, considering factors such as data rate, Bit Error Rate, and power consumption. The focus extends beyond energy efficiency to emphasize the creation of a hazard-free environment in the near future by using LEDs in indoors and outdoors. The obtainable outcomes of this investigation is energy consumption using global MANET and WSN in IoT VLC based system, marking a significant step towards providing reliable services over internet. Packet Delivery Rate is estimated for 100 node counts of Cluster Nodes Reinforcement Scheme in comparison with Reliable Data Transmission Model and EA-based Imperialist Competitive Algorithm (MANET) schemes in the work."
"Invasiveness, Intrusiveness and Influence: three new metrics to measure communication between political digital echo chambers","The contemporary debate about the place and role of political digital echo chambers (DPECs) in political communication relies more on assumptions, guess work, and speculations rather than empirical conclusions. Such shortcomings reflect the lack of empirical tools to measure the communication between echo chambers and the outside world. We try to overcome this deficiency by construing three graph-level metrics: Invasiveness, Intrusiveness and Influence, which try to capture the information dominance of a DPEC over another one, its strength of information source, and the penetration capability of one DPEC’s message into another DPEC’s space. We tested our metrics with simulated and real network data, and they seem to respond according to their design and our expectations. Test results on real network data showed that our metrics would be very useful in measuring the comparative strength of political mobilization in face of opposing forces that use the same social networks for political countermobilization."
Digital Development of Cultural and Creative Industries Under the Security of 5G Mobile and Communication,"With the rapid growth of global 5G technology, it inevitably has a certain impact on the growth of China’s cultural industry, and also encourages employees in the cultural industry to innovate and transform China’s cultural industry. Various technologies of 5G digital technology have important influence and strong impetus on cultural & creative industries. With the rapid progress of social development, people are gradually attracted by some new things, new media and other forms of content, and their attention to cultural legacy is gradually reduced, which in turn brings a large number of cultural relics, historical buildings, cultural relics, handicrafts, etc. that slowly disappear from people’s vision. Under the background of 5G mobile and communication security, this article proposes a digital protection model of cultural legacy based on deep learning (DL). The digital protection model of cultural legacy based on DL can effectively solve the problem of unclear and stereo images, while maintaining the clarity of cultural legacy images, which provides theoretical support for the digital growth of cultural & creative industries."
"The underuse of AI in the health sector: Opportunity costs, success stories, risks and recommendations","PurposeThis contribution explores the underuse of artificial intelligence (AI) in the health sector, what this means for practice, and how much the underuse can cost. Attention is drawn to the relevance of an issue that the European Parliament has outlined as a ""major threat"" in 2020. At its heart is the risk that research and development on trusted AI systems for medicine and digital health will pile up in lab centers without generating further practical relevance. Our analysis highlights why researchers, practitioners and especially policymakers, should pay attention to this phenomenon.MethodsThe paper examines the ways in which governments and public agencies are addressing the underuse of AI. As governments and international organizations often acknowledge the limitations of their own initiatives, the contribution explores the causes of the current issues and suggests ways to improve initiatives for digital health.ResultsRecommendations address the development of standards, models of regulatory governance, assessment of the opportunity costs of underuse of technology, and the urgency of the problem.ConclusionsThe exponential pace of AI advances and innovations makes the risks of underuse of AI increasingly threatening.Graphical Abstract"
Healthcare professionals satisfaction and AI-based clinical decision support system in public sector hospitals during health crises: a cross-sectional study,"The entire world’s focus has shifted to a digital health management system after the COVID-19 pandemic and crisis management through information systems that provide potential health support and minimize the effects of similar healthcare emergencies. Artificial intelligence (AI) can create alternative techniques such as Clinical Decision Support System (CDSS), which can aid complex scenarios such as large volumes of data, information accuracy, patient turnover, and health management regimes. CDSS uses an AI-based health information system that is helpful, fast, effective, and offers advanced techniques in emergencies and pandemics such as COVID-19. Therefore, it is essential to analyze mechanisms that can influence the degree of health care professionals (HCP) satisfaction and intention to adopt CDSS. Based on DeLone and McLean’s information system success model (D&M and ISSM), the researchers recruited 237 on-duty HCP from three major hospitals in Wuhan, China, in 2021. Data is collected through an online survey questionnaire with the consent of the hospital administration. The empirical findings show the strong influence of IS qualities (system, information, and service quality) and user satisfaction. These findings support the foundation for CDSS adoption in developing countries."
Role of Regulatory Sandboxes and MLOps for AI-Enabled Public Sector Services,"This paper discusses how innovations in public sector AI-based services must comply with the Artificial Intelligence Act (AI Act) regulatory frameworks while enabling experimentation and participation of diverse stakeholders throughout the Artificial Intelligence (AI) lifecycle. The paper examines the implications of the emerging regulation, AI regulatory sandboxes and Machine Learning Operations (MLOps) as tools that facilitate compliance while enabling co-learning and active participation of multiple stakeholders. We propose a framework that fosters experimentation with automation pipelines and continuous monitoring for the deployment of future public sector AI-based services in a regulatory-compliant and technically innovative manner. AI regulatory sandboxes can be beneficial as a space for contained experimentation that goes beyond regulatory considerations to specific experimentation with the implementation of ML frameworks. While the paper presents a framework based on emerging regulations, tools and practices pertaining to the responsible use of AI, this must be validated through pilot experimentation with public and private stakeholders and regulators in different areas of high-risk AI-based services."
aiWATERS: an artificial intelligence framework for the water sector,"The presence of Artificial Intelligence (AI) and Machine Learning (ML) applications has led to its widespread adoption across diverse domains. AI is making its way into industry, beyond research and academia. Concurrently, the water sector is undergoing a digital transformation. Water utilities in the United States are at different stages in their journey of digital transformation, and the decision makers in water sector, who are non-expert stakeholders in AI applications, need to better understand this technology to make informed decisions. While AI has numerous benefits to offer, there are also many challenges related to data, model development, knowledge integration and ethical concerns that should be considered before implementing it for real world applications. Civil engineering is a licensed profession where critical decision making is involved. Therefore, trust in any decision support technology is critical for its acceptance in real-world applications. Therefore, this research proposes a framework called aiWATERS (Artificial Intelligence for the Water Sector) which can serve as a guide for the water utilities to successfully implement AI in their system. Based on this framework, we conduct pilot interviews and surveys with various small, medium, and large water utilities in the United States (US) to capture their current state of AI implementation and identify the challenges faced by them. The research findings reveal that most of the water utilities in the United States are at an early stage of implementing AI as they face concerns regarding the black box nature, trustworthiness, and sustainability of AI technology in their system. The aiWATERS framework is intended to help the utilities navigate through these issues in their journey of digital transformation."
Awareness among teaching on AI and ML applications based on fuzzy in education sector at USA,"This paper summarises the level of knowledge held by educators in the United States on the use of artificial intelligence and machine learning in the classroom. The education industry seems to have reaped little benefits from the AI & ML industry's growth thus far. In any event, the creation of new ML & AI-based systems is mostly aimed towards areas with higher societal needs, such as medical diagnostics and individual transportation, rather than institutions of higher education. With this analysis, we want to shed some light on the mysterious state of application development in the US education industry. The report was written using a triangulation of research approaches to achieve this objective. First, we surveyed the current state-of-the-art reports from other countries and reviewed the relevant literature on AI & ML applications in the field of education. In the second phase, we analysed, to the extent possible, official documents from the United States education sector that dealt with AI and ML based on fuzzy digitalization initiatives. Third, in order to corroborate and expand upon the impressions received from the relevant literature and the document analysis, 15 guideline-based expert interviews were undertaken. Based on this data, we provide a selection of the AI & ML systems in use in universities and colleges now, analyse the benefits and drawbacks of implementing them, and speculate on their potential future evolution. While it would be a stretch to say that this paper presents a comprehensive overview of the subject, it does provide light on key areas of application and potential future research directions for AI and ML."
A global perspective on data powering responsible AI solutions in health applications,"Healthcare AI solutions have the potential to transform access, quality of care, and improve outcomes for patients globally. This review suggests consideration of a more global perspective, with a particular focus on marginalized communities, during the development of healthcare AI solutions. The review focuses on one aspect (medical applications) to allow technologists to build solutions in today’s environment with an understanding of the challenges they face. The following sections explore and discuss the current challenges in the underlying data and AI technology design on healthcare solutions for global deployment. We highlight some of the factors that lead to gaps in data, gaps around regulations for the healthcare sector, and infrastructural challenges in power and network connectivity, as well as lack of social systems for healthcare and education, which pose challenges to the potential universal impacts of such technologies. We recommend using these considerations in developing prototype healthcare AI solutions to better capture the needs of a global population."
An example of governance for AI in health services from Aotearoa New Zealand,"Artificial Intelligence (AI) is undergoing rapid development, meaning that potential risks in application are not able to be fully understood. Multiple international principles and guidance documents have been published to guide the implementation of AI tools in various industries, including healthcare practice. In Aotearoa New Zealand (NZ) we recognised that the challenge went beyond simply adapting existing risk frameworks and governance guidance to our specific health service context and population. We also deemed prioritising the voice of Māori (the indigenous people of Aotearoa NZ) a necessary aspect of honouring Te Tiriti (the Treaty of Waitangi), as well as prioritising the needs of healthcare service users and their families. Here we report on the development and establishment of comprehensive and effective governance over the development and implementation of AI tools within a health service in Aotearoa NZ. The implementation of the framework in practice includes testing with real-world proposals and ongoing iteration and refinement of our processes."
Operationalising AI ethics through the agile software development lifecycle: a case study of AI-enabled mobile health applications,"Although numerous ethical principles and guidelines have been proposed to guide the development of artificial intelligence (AI) systems, it has proven difficult to translate these principles into actionable practices beyond mere adherence to ethical ideas. This is particularly challenging in the context of AI systems for healthcare, which requires balancing the potential benefits of the solution against the risks to patients and the wider community, including minorities and underserved populations. To address this challenge, we propose a shift from one-size-fits-all ethical principles to contextualized case-based ethical frameworks. This study uses an AI-enabled mHealth application as a case study. Our framework is built on existing ethical guidelines and principles, including the AI4People framework, the EU High-Level Expert Group on trustworthy AI, and wider human rights considerations. Additionally, we incorporate relational perspectives to address human value concerns and moral tensions between individual rights and public health. Our approach is based on ”ethics by design,” where ethical principles are integrated throughout the entire AI development pipeline, ensuring that ethical considerations are not an afterthought but implemented from the beginning. For our case study, we identified 7 ethical principles: fairness, agility, precision, safeguarding humanity, respect for others, trust and accountability, and robustness and reproducibility. We believe that the best way to mitigate and address ethical consequences is by implementing ethical principles in the software development processes that developers commonly use. Finally, we provide examples of how our case-based framework can be applied in practice, using examples of AI-driven mobile applications in healthcare."
