Title,ParaphrasedAbstract
Decentralization System Using Smart Blockchain with Secure Hash,"Blockchain decentralization refers to the distribution of decision-making and control over data. It evolves from a centralized structure, whether it involves an individual, organization, or group, into a distributed network. In a decentralized system, user trust does not have to be placed in one another; rather, the functionality of the network is limited. This allows for the control of the decentralized system via smart contracts. This paper introduces a blockchain decentralization approach based on smart contracts linked to blocks, known as a smart blockchain. Smart blockchain, or Smart chain, represents the next evolution of blockchain technology, enabling the use of multiple smart contracts. This decentralized system of smart contracts ensures precise and flawless data collection. The decentralized characteristic of smart blockchain eliminates single points of control or failure, enhancing resilience against tampering, hacking, and other malicious activities. Simultaneously, this decentralization strategy supports the storage and registration of data in new blocks. Transactions are processed automatically without human intervention. The smart blockchain, or Smart chain, can fully substitute blockchain networks like Ethereum. We address four processes in this study: new_block, new_transaction, last_block, and hash. Using the Flask framework, requests are communicated and fulfilled over HTTP Protocol. Further exploration of this decentralized system facilitating the smart blockchain can impact application research areas, including Smart Homes using IoT Technology. Smart blockchain technology assesses security, complexity, privacy, integrity, and implementation protocols. Additionally, our experiments demonstrate the superior performance of the protocols across multiple blockchain blocks."
Data Mesh Meets Blockchain,"Efficient dataset management is essential for companies to make well-informed choices and stay competitive. Nonetheless, traditional centralized methods often lead to scalability issues, ambiguous governance, data silos that are hard to access, and duplicated efforts. This study introduces a decentralized, blockchain-based framework modeled after the data mesh architecture to overcome these issues. The proposed framework exploits blockchain's decentralized features to facilitate effective and transparent data sharing among different enterprise departments. By converting datasets into digital assets and transforming business domains into network peers, our framework uses blockchain smart contracts to allow these departments to view, request, and exchange data. This paper details our framework and examines it in terms of scalability, accessibility, security, and data governance. To demonstrate its effectiveness, we provide a proof-of-concept implementation with source code available to the public."
Quantum blockchain architecture using cyclic QSCD and QKD,"Quantum blockchain (QBC) introduces a decentralized approach expected to serve as an alternative to traditional blockchain, enhancing transaction security and transparency. QBC frameworks are particularly advantageous in addressing the security challenges posed by quantum computers to classical blockchains. The new scheme introduces a QBC framework where the Quantum-Secured Yet Another Consensus (QSYAC) algorithm is employed for voting, creating a quick decentralized QBC. The QSYAC algorithm also guarantees the blockchain framework’s reliability and fault tolerance. Classical data and chaining are achieved through a single qubit state and quantum entanglement. Transactions are signed using a cyclic permutation of the computational distinguishability problem of quantum states, and a quantum key distribution protocol ensures secure key sharing. By securing the key and the blockchain, the proposed model surpasses previous systems in effectiveness and protection against potential quantum threats."
The Mediating Effect of Self-Efficacy in the Relationship Between Parental Communication and Digital Addiction,"In recent years, the overuse of digital technologies has resulted in digital addiction emerging at younger ages. However, there are limited studies explaining the causes of digital addiction. This study aimed to explore the connections between communication with mothers and fathers and digital addiction, and whether self-efficacy mediated these relationships. Additionally, the study examined if gender moderated these links. Data were gathered from 601 middle school students aged 11–14 (61.7% girls, average age 12.23, SD 1.03). Participants completed the Digital Addiction Scale for Children, Adolescent Family Process Measure, General Self-Efficacy Scale, and a Demographic Questionnaire. Hypotheses were tested using structural equation modeling. Results indicated that paternal communication was directly linked to self-efficacy and indirectly to digital addiction via self-efficacy. Conversely, maternal communication was only directly linked to digital addiction. Gender moderation tests were significant; the indirect effect of maternal communication on digital addiction was significant only for girls. These results imply that developing programs to enhance parent-child communication and boost children's self-efficacy could help prevent digital addiction. The findings could also assist mental health professionals in understanding the impact of parent-child communication on children’s digital addiction."
Face-to-face more important than digital communication for mental health during the pandemic,"During the COVID-19 lockdowns, numerous individuals sought to offset the lack of in-person interactions by boosting their digital communications. Findings from a four-week experience sampling study in German-speaking countries (N = 411 participants; k = 9791 daily questionnaires) indicate that digital communication played a much smaller role in mental health during lockdowns compared to face-to-face interactions. However, digital text-based communication (e.g., email, WhatsApp, SMS) had a significant association with mental health, with both face-to-face and digital text communication being stronger predictors of mental health than physical or outdoor activities. The results highlight the critical role of face-to-face interactions for mental wellbeing. Additionally, the study found that videoconferencing had a minimal impact on mental health, despite offering more visual and audio cues than digital text communication."
Emoji as gesture in digital communication: Emoji improve comprehension of indirect speech,"As the dependence on digital communication increases, the significance of effectively conveying messages through text also rises. However, text communication lacks the advantages of other mediums like hand gestures. Hand gestures help in understanding and clarifying the spoken message by adding visual cues to support verbal communication. Can emojis (images used to enhance text communication) serve a similar role? This study explores whether emojis enhance the understanding of indirect speech. Indirect speech is ambiguous, and its proper comprehension relies on the receiver interpreting contextual clues, such as hand gestures. We adapted gesture conditions from previous research (Kelly et al., 1999, Experiment 2) into a digital, text-based context using emojis instead of gestures. Participants interpreted 12 hypothetical text-message exchanges featuring indirect speech in three conditions: text only, text+emoji, or emoji only, in a between-subjects design. Similar to the effect of hand gestures, emojis enhanced comprehension. Participants were better at accurately interpreting indirect speech in the emoji-only condition compared to the text+emoji and text-only conditions, and better in the text+emoji condition compared to the text-only condition. Therefore, emojis are not just decorative; they integrate with text to convey and clarify complex messages. Like hand gestures in face-to-face interactions, emojis enhance comprehension in text-based communication."
Effect of digital literacy on social entrepreneurial intentions and nascent behaviours among students and practitioners in mass communication,"Due to significant transformations in journalism and mass communication in the digital age, investigating alternative career trajectories for students and professionals in this field may yield important insights for its future. With a focus on decent work opportunities and responsible production practices as highlighted by the Sustainable Development Goals, this study examines the factors influencing social entrepreneurial intentions and behaviours among Taiwanese mass communication students and practitioners. Using a quantitative survey approach, 814 respondents—comprising 373 students and 441 professionals—provided valid data, which were analysed via structural equation modelling. Both groups' results show that perceived social support, peer social awareness, and digital literacy positively impact social entrepreneurial intentions, and that digital literacy and social entrepreneurial intentions positively influence social entrepreneurial behaviours. The study underscores digital literacy as a vital factor in promoting social entrepreneurial intentions and actions. Additionally, educational implications and recommendations are discussed."
The digital power of the tower: digital communication technologies and dwelling experience in residential large urban developments,"In numerous global cities, large-scale urban residential projects dominate housing trends, bringing innovative technologies that transform the living experience. This study utilizes digital ethnography and in-depth interviews with inhabitants of three such developments in central Israel to illustrate how digital elements are integrated into and alter the functionality and experience of these housing environments. We assert that the digital dimension is crucial to the emergence of a uniquely different dwelling experience and the reconfiguration of residential power dynamics in urban areas."
Intelligent patrol inspection of low code enabled electric power communication equipment based on digital transformation,"To address the digital development needs of power systems and ensure the safety of power communication equipment, a low code-enabled intelligent patrol inspection method, rooted in digital transformation, is suggested. An intelligent patrol platform for low code-enabled power communication equipment, leveraging digital transformation, is constructed. The infrastructure layer’s data acquisition module uses handheld devices carried by patrol personnel to scan RFID tags on communication equipment, gathering detailed information about the current equipment. The data transmission module's UDT data protocol conveys the collected equipment information to the patrol application layer. The patrol application layer’s fault diagnosis module deploys a convolutional neural network to analyze patrol data and conduct fault detection on power communication equipment. The integrated component layer employs visual tool-developed application components to empower the platform with low code via low-threshold platform development technology. Supported by the integrated component layer's technology, the front-end service layer facilitates the simplification and customization of display outputs such as patrol results. The user terminal layer allows viewing and management of the platform’s patrol results. Experiments demonstrate the method’s precision in data capture, speed in data transmission, and high fault diagnosis accuracy, establishing it as a highly effective intelligent patrol method for power communication equipment."
A Model for Digital Education Management Information System Using Wireless Communication and BP Neural Networks,"As wireless communication and various mobile smart devices gain traction, digital education management information systems are becoming more prevalent among students. Modern teaching's evolution has notably impacted teaching quality assessment techniques and frameworks. Nonetheless, research indicates that current intelligent teaching quality diagnostics require further refinement in design and implementation. Consequently, developing an education management information system is pivotal, making the establishment of a digital education management information system a crucial endeavor. This study introduces a digital education management information system (DEMIS) model leveraging wireless communication and BP neural networks (BPNNs) to oversee digital education in schools. It underscores the importance of wireless communication and DEMIS in contemporary education. The investigation employs both a grey prediction model and a BP neural network model to forecast education development trends. DEMIS is implemented through MATLAB simulation with specific management constraint parameters, using sample data from the digital education assessments of 85 instructors. The experiment is divided into two phases: utilizing the grey prediction model and the BPNNs, which confirm the proposed method's effectiveness in administrating digital education in schools. Results indicate that integrating wireless communication with BPNNs allows the system to manage campus network information cohesively and provides decision support to administrators, proving to be highly feasible. Consequently, the proposed DEMIS can significantly improve students' learning experiences and the quality of education."
"Corporate social responsibility communication in the ICT sector: digital issues, greenwashing, and materiality","The rise of digitalization introduces new social and governance challenges, with corporations bearing increased responsibility. Society has recently demanded that companies be more transparent about their digital technology practices, oversight, and impacts. The information and communication technology (ICT) sector particularly highlights these dynamics. This research offers a pioneering exploration of how major ICT firms address corporate social responsibility (CSR) concerning digital issues, using signaling theory to assess a diverse range of media, including sustainability, ESG, CSR, integrated, impact, purpose, consolidated management, and annual reports, as well as issue briefs and websites. It elucidates the way ICT companies report on materiality—a concept related to the fair representation and relevance of information—in their digital-related CSR disclosures. The study then explores the implications of potential greenwashing and proposes recommendations for enhancing the credibility of disclosures."
Tactile Codec with Visual Assistance in Multi-modal Communication for Digital Health,"In digital healthcare, advancements in communication are leading to a rapid increase in medical data across various forms. Consequently, effective communication for multi-modal data, which includes tactile and visual information, is crucial. This paper introduces a new approach to compress tactile video data captured by GelSight sensors for digital health applications. Our method initially combines visual and tactile modalities to extract salient information from the tactile videos. A target recognition network, serving as visual assistance, aids tactile videos in identifying effective information frames by detecting whether objects are making contact. Additionally, we design a specialized coding scheme for predicting and compressing tactile signals both within and between frames. The intra-frame prediction employs a dynamic group of pictures (GOP) strategy to minimize temporal redundancy, while the intra-frame prediction relies on low-rank sparse decomposition (LRSD) for further compression efficiency. Comprehensive evaluations using metrics such as peak signal-to-noise ratio (PSNR), structural similarity index (SSIM), and learned perceptual image patch similarity (LPIPS) demonstrate that our method outperforms advanced video coding (AVC) and high-efficiency video coding (HEVC). Specifically, our approach achieves average bitrate reductions of 23.6% compared to HEVC and 61.4% compared to AVC, proving its capability to significantly compress haptic data while maintaining high reconstruction quality."
Linear digital precoding technology in massive multiple input multiple output wireless communication system,"The swift advancement of wireless communication in contemporary society is encountering the challenge of increasingly scarce spectrum resources. MMIMO technology, a crucial component of 5G, has garnered significant attention and application in recent times. It promises to enhance wireless communication networks. MMIMO is characterized by its extensive antenna array, which leads to a high-dimensional wireless system channel. This paper explores the utilization of precoding technology within large-scale multi-antenna MIMO systems to solve the problem of Common Channel Interference (CCI). Beginning with an introduction to linear digital precoding, the study offers mathematical explanations of three linear digital precoding approaches. The performance of these approaches is subsequently simulated and evaluated using MATLAB, with findings indicating notable improvements in bit error rate and combining rate for the MIMO system."
Digital information and communication technologies in political education in universities: conflict of pragmatic and civilizational goals,"The article seeks to identify how the value orientations of students and teachers align with the pragmatic and civilizational objectives of political education amid the integration of digital information and communication technologies for sustainable development. The research included 92 master’s level Political Science students from the School of Marxism at TongJi University and 83 teachers of political studies, all utilizing mobile and cloud-based digital educational technologies. The study employed the Portrait Values Questionnaire (PVQ) and the Eysenck Personality Questionnaire (EPQ). Data gathering, organization, and visualization were performed using Microsoft Excel. The statistical significance of the findings was evaluated through the Student’s t-test via the Social Science Statistics online calculator. Results showed significant differences (p < 0.05) between the motivational educational values of students and teachers: teachers valued conformity (4.6 ± 0.2 vs. 3.4 ± 0.1 points) and tradition (4.9 ± 0.1 vs. 3.5 ± 0.3 points) more than students, who prioritized independence (4.5 ± 0.2 vs. 3.3 ± 0.1 points). Regarding neuroticism, teachers' scores (15.6 ± 2.4) were at the upper limit of normal and significantly (p < 0.05) higher than students' scores (10.2 ± 1.0). The study uncovered a disparity in the hierarchical values between students undergoing political education with digital technologies and political science teachers, signaling a conflict between the pragmatic and civilizational objectives in the integration of digital information and communication technologies, particularly regarding the opposition between tradition and universalism, conformity, and the aspiration for power and achievement."
Synchronous restoration of video key frame loss based on digital media communication protocol,"This study introduces a method for synchronously recovering lost video key frames by employing a digital media feature extraction algorithm to assess experimental video content. By meticulously designing and analyzing real-time embedded systems communication protocols, the processing of video data is enhanced. Consequently, key frames are restored concurrently using the digital media communication protocol and are validated through comparisons with other algorithms. Experimental outcomes demonstrate that the recall and precision rates of this algorithm for key frame extraction are 90.1% and 100%, respectively. Compared with three different algorithms, a single-feature algorithm yielded the highest recall and precision rates at 80.2% and 85.9%, respectively. Additionally, the time taken for synchronous restoration of lost key frames using this algorithm is 12.2 seconds, outperforming other algorithms in terms of speed. It is evident that the digital media feature extraction-based algorithm holds significant importance for the synchronous recovery of lost video key frames, facilitating improved video data diversity and enhanced information interaction. Under the digital media communication protocol, it effectively synchronizes audio and video at the receiving end of multimedia information, allowing for recovery and prediction of missing frames in video sequences. This approach bolsters the internal characteristics of video frames, enhancing image similarity and consistency between frames, while substantially improving the accuracy and efficiency of video data processing. From a practical standpoint, the synchronous recovery of video key frame loss based on digital media communication protocols significantly advances the sustainable development of media data, bearing notable social value and practical relevance in the current era of big data."
"Digital communication strategies used by private companies, entrepreneurs, and public entities to attract long-stay tourists: a review","Globalization and transformations in technological and social sectors have made international mobility easier, to the point where the distinctions between tourism and migration-like mobility have nearly vanished. Advances in digital communication have encouraged people to seek improved quality of life concerning health, employment, leisure, and other facets. These new communication methods are slowly replacing traditional media. In this scenario, private companies, entrepreneurs, and public organizations have recognized the critical role of digital communication in enhancing their strategies to attract populations. This study aims to explore the digital communication tactics employed to generate interest in destinations. Through a Systematic Literature Review (SLR), we explored the terms ""lifestyle migration"" and ""digital communication,"" identifying 294 articles from the Web of Science (WOS) and Scopus. Our analysis highlighted 16 key papers relevant to our research goals. The outcomes of our study are categorized based on the digital communication actions identified: (i) Social Network Relationships; (ii) Digital Marketing; and (iii) Virtual Reality and Augmented Reality. Consequently, this research links lifestyle migration with digital communication for destination management offices, businesses, and entrepreneurs. The paper concludes by discussing the theoretical and practical implications of researching digital communication strategies within long-term tourism."
Effects of robot-assisted digital storytelling on hospitalized children’s communication during the COVID-19 pandemic,"This research introduced a robot-assisted digital storytelling method designed to alleviate anxiety in hospitalized children regarding intravenous injections and to enhance their therapeutic communication and engagement. To test the method's efficacy, a randomized controlled trial was conducted. A total of 47 children from a regional hospital were randomly divided into an experimental group (n = 21) and a control group (n = 26). The experimental group utilized the robot-assisted digital storytelling method for health education on intravenous injections, whereas the control group received video-based health education. Findings revealed that the robot-assisted digital storytelling method significantly reduced the children's anxiety and positively impacted their communication about intravenous procedures, emotional states during hospitalization, and therapeutic engagement. Therefore, it is recommended that educators and researchers consider implementing robot-assisted digital storytelling in clinical health education for children."
Internet of things connecting digital world through visible light communication,"This research investigates the application of Light Emitting Diodes (LEDs) for illumination, integrating Visible Light Communication (VLC) technology for data exchange. The Internet of Things (IoT), a novel technology, enables the connection of physical devices to the digital realm via VLC. In intelligent environments, IoT engages with Wireless Sensor Networks (WSNs) and Mobile Ad-Hoc Networks (MANETs), improving user experience and economic feasibility. This synergy creates new MANET-IoT frameworks within VLC-based networks, which offer enhanced user mobility, energy efficiency, and reduced network setup costs. This study evaluates the performance of Light Fidelity (Li-Fi) technology of VLC against Radio Frequency (RF) technology, examining parameters such as data speed, Bit Error Rate, and energy consumption. The emphasis goes beyond energy efficiency to promoting a safe environment for both indoor and outdoor LED use. The study's results highlight energy consumption using global MANET and WSN in an IoT VLC-based system, representing a significant advancement towards delivering reliable internet services. Packet Delivery Rate is estimated for 100 node counts of Cluster Nodes Reinforcement Scheme compared with Reliable Data Transmission Model and EA-based Imperialist Competitive Algorithm (MANET) schemes.
"
"Invasiveness, Intrusiveness and Influence: three new metrics to measure communication between political digital echo chambers","The current discussion on the significance and function of political digital echo chambers (DPECs) in political communication is primarily grounded in assumptions, guesswork, and speculations rather than empirical evidence. This deficit highlights the absence of empirical methods to assess the interaction between these echo chambers and external environments. To address this gap, we have developed three graph-level metrics: Invasiveness, Intrusiveness, and Influence. These metrics aim to measure the information dominance of one DPEC over another, its role as an information source, and its ability to infiltrate another DPEC’s space. We validated our metrics using both simulated and real network data, and they performed in line with their intended purpose and our predictions. Results from real network data indicated that our metrics are highly valuable for assessing the relative strength of political mobilization in the face of adversarial forces utilizing the same social networks for political counter-mobilization."
Digital Development of Cultural and Creative Industries Under the Security of 5G Mobile and Communication,"The swift expansion of global 5G technology unavoidably affects China’s cultural industry growth and motivates industry workers to innovate and reshape the sector. The diverse applications of 5G digital technology exert significant influence and provide robust momentum for cultural and creative industries. As society rapidly advances, people are increasingly drawn to new phenomena, new media, and various types of content, leading to a diminished focus on cultural heritage. Consequently, numerous cultural relics, historical structures, and handicrafts gradually vanish from public view. In the context of 5G mobile and communication security, this study suggests a deep learning (DL)-based digital preservation model for cultural heritage. This DL-based model effectively addresses issues of image clarity and stereoscopy in cultural legacy visuals, ensuring their sharpness and supporting the digital expansion of cultural and creative industries."
"The underuse of AI in the health sector: Opportunity costs, success stories, risks and recommendations","Objective: This article investigates the insufficient application of artificial intelligence (AI) in the healthcare sector, its implications for practice, and the associated costs of this underutilization. The discussion underscores the importance of an issue identified by the European Parliament in 2020 as a ""major threat."" Central to this concern is the risk that research and development of reliable AI systems for medical and digital health may remain confined to laboratories, thereby failing to achieve significant practical impact. Our analysis illuminates the reasons for researchers, practitioners, and especially policymakers, to focus on this issue.

Approach: The study explores how governments and public entities are managing the insufficient use of AI. Recognizing that governments and international bodies often concede the limitations of their efforts, the paper delves into the root causes of the prevailing challenges and proposes improvements for digital health initiatives.

Findings: The recommendations include the creation of standards, models for regulatory oversight, evaluation of the opportunity costs of technology underuse, and the pressing nature of the problem.

Conclusions: The rapid advancement of AI innovations accentuates the increasingly perilous nature of underutilization in this field."
Healthcare professionals satisfaction and AI-based clinical decision support system in public sector hospitals during health crises: a cross-sectional study,"In the wake of the COVID-19 pandemic, global attention has turned towards digital health management systems and the role of information systems in crisis management to provide health support and mitigate similar healthcare emergencies. Artificial intelligence (AI) can introduce innovative methods like the Clinical Decision Support System (CDSS), which excels in handling complex situations such as data overloads, ensuring information precision, managing patient turnover, and overseeing health management protocols. CDSS leverages an AI-based health information system that is efficient, rapid, effective, and deploys advanced techniques during emergencies and pandemics like COVID-19. Consequently, it is crucial to evaluate the factors that impact health care professionals' (HCP) satisfaction and their willingness to adopt CDSS. Utilizing DeLone and McLean's information system success model (D&M and ISSM), researchers surveyed 237 active HCP from three prominent hospitals in Wuhan, China, in 2021. The data, collected via an online survey with administrative approval from the hospitals, reveal that the quality of the information system (system, information, and service quality) significantly influences user satisfaction. These outcomes provide a robust basis for the adoption of CDSS in developing nations."
Role of Regulatory Sandboxes and MLOps for AI-Enabled Public Sector Services,"This paper explores the necessity for innovations in AI-driven public sector services to align with the regulatory structures of the Artificial Intelligence Act (AI Act) while fostering experimentation and engagement from a variety of stakeholders throughout the AI lifecycle. The paper investigates the outcomes of the new regulation, AI regulatory sandboxes, and Machine Learning Operations (MLOps) as mechanisms that aid in compliance and promote co-learning and active involvement from diverse stakeholders. We introduce a framework designed to encourage experimentation with automation pipelines and continuous oversight for the implementation of future public sector AI services in a manner that is both regulatory-compliant and technically innovative. AI regulatory sandboxes serve as conducive environments for controlled experiments, extending beyond regulatory concerns to specific testing with ML frameworks. Although the paper proposes a framework based on current regulations, tools, and practices for the responsible application of AI, it necessitates validation through pilot experiments involving public and private stakeholders, as well as regulators, in various domains of high-risk AI services."
aiWATERS: an artificial intelligence framework for the water sector,"The integration of Artificial Intelligence (AI) and Machine Learning (ML) applications has fostered their extensive use in various sectors. AI is branching out from research and academia to make significant inroads into industry. Simultaneously, the water sector is experiencing a digital revolution. Water utilities in the United States are progressing at different rates in their digital transformation journey. Decision-makers in the water sector, who typically lack expertise in AI, must gain a deeper understanding of this technology to make informed choices. While AI offers numerous advantages, it also presents challenges related to data, model development, knowledge integration, and ethical issues that must be considered prior to real-world deployment. Civil engineering, a regulated profession involving critical decision-making, necessitates a high level of trust in decision support technologies for their acceptance in practical applications. This study proposes the aiWATERS (Artificial Intelligence for the Water Sector) framework as a guide for water utilities to effectively implement AI in their systems. We conducted pilot interviews and surveys with various small, medium, and large water utilities across the US to assess their current AI implementation status and identify challenges. Findings indicate that most US water utilities are in the early stages of AI adoption, with concerns about the opaque nature, reliability, and sustainability of AI technology. The aiWATERS framework aims to help these utilities address these issues during their digital transformation journey."
Awareness among teaching on AI and ML applications based on fuzzy in education sector at USA,"This document encapsulates the knowledge level of U.S. educators regarding the application of artificial intelligence and machine learning in educational settings. The education sector appears to have gained limited advantages from the advancements in AI and ML industries so far. Predominantly, the development of new AI and ML systems has been directed towards fields with significant societal impact, such as healthcare diagnostics and personal transportation, rather than higher education institutions. Through this analysis, we aim to elucidate the enigmatic state of application development within the U.S. education sector. The report was compiled using a triangulated research methodology. Initially, we examined contemporary reports from other nations and reviewed relevant academic literature on AI and ML applications in education. Secondly, we analysed, as comprehensively as possible, official documents from the U.S. education sector that addressed AI and ML within fuzzy digitalization initiatives. Finally, to validate and enhance the insights drawn from the literature and document analysis, we conducted 15 guideline-based interviews with experts. Drawing from this data, we present an overview of the current AI and ML systems used in colleges and universities, assess their advantages and disadvantages, and predict their potential future development. While this document may not offer an exhaustive overview of the topic, it highlights crucial application areas and outlines possible future research avenues for AI and ML."
A global perspective on data powering responsible AI solutions in health applications,"AI solutions in healthcare hold the promise of revolutionizing patient care access, quality, and outcomes across the world. This analysis advocates for a globally inclusive viewpoint, emphasizing underserved communities in AI healthcare advancements. Concentrating primarily on medical applications, the review aims to equip technologists with insights into present-day challenges. Subsequent sections delve into the obstacles inherent in data acquisition and AI system design for global healthcare implementation. Highlighted are the contributors to data deficiencies, regulatory gaps, infrastructural issues like power and network connectivity, and the absence of robust social systems for healthcare and education. These hurdles challenge the universal applicability of AI technologies. We advise integrating these considerations when developing prototype healthcare AI solutions to better address the diverse needs of the global populace."
An example of governance for AI in health services from Aotearoa New Zealand,"Artificial Intelligence (AI) is advancing swiftly, which means that its potential risks are not yet fully comprehended. Several global principles and guidelines have been created to steer the use of AI tools across various sectors, notably in healthcare. In Aotearoa New Zealand (NZ), we identified that the issue extended beyond merely tailoring existing risk frameworks and governance guidelines to our unique health service environment and population. Additionally, we considered it crucial to prioritize the perspectives of Māori (the indigenous people of Aotearoa NZ) to respect Te Tiriti (the Treaty of Waitangi), as well as to address the needs of healthcare users and their families. This document details the creation and establishment of thorough and effective governance over the development and deployment of AI tools within a health service in Aotearoa NZ. The practical implementation of this framework involves testing with real-world proposals and continuous iteration and enhancement of our processes."
Operationalising AI ethics through the agile software development lifecycle: a case study of AI-enabled mobile health applications,"Despite the introduction of numerous ethical guidelines and principles to steer the development of artificial intelligence (AI) systems, effectively implementing these principles into practical applications remains a challenge, especially in the healthcare sector. This sector demands careful consideration and balance between the benefits of AI solutions and their potential risks to patients and broader communities, including marginalized and underserved groups. To tackle this issue, we advocate for a shift from generic ethical principles to specific, case-based frameworks. We illustrate our approach with a case study involving an AI-powered mobile health (mHealth) application. Our framework draws from established ethical guidelines and principles such as the AI4People framework, the EU’s High-Level Expert Group on Trustworthy AI, and broader human rights considerations, supplemented by relational viewpoints that address value concerns and moral conflicts between individual rights and public health. We adopt an ""ethics by design"" methodology, embedding ethical principles throughout the AI development lifecycle to ensure they are integral, not supplementary. In our case study, we identified seven key ethical principles: fairness, agility, precision, humanity, respect for others, trust and accountability, and robustness and reproducibility. We argue that the most effective way to manage and mitigate ethical impacts is by integrating these principles into standard software development practices. Furthermore, we provide practical examples of how our contextualized framework can be applied using AI-driven healthcare mobile applications."
"Does AI-technology-based indoor environmental quality impact occupants’ psychological, physiological health, and productivity?","Over the past hundred years, the travel and tourism industry has seen substantial growth due to increased global travel. However, the current pandemic has drastically altered this landscape, shining a spotlight on Indoor Environmental Quality (IEQ) enhanced with technology, particularly artificial intelligence (AI). This research examines the impact of AI-driven IEQ on occupants’ productivity in the hospitality sector, focusing on their psychological and physiological well-being. By utilizing Job Demand-Resource theory and Nudging philosophy, we developed hypotheses and a conceptual framework, which were tested using structural equation modeling (SEM). Findings indicate that AI-based IEQ significantly influences behavioral changes, affecting occupants' health and productivity. Specifically, AI-enhanced IEQ in the hospitality industry notably boosts productivity, with subsequent effects on psychological and physiological health."
Applying the ethics of AI: a systematic review of tools for developing and assessing AI-based systems,"AI systems and their widespread integration have made this technology omnipresent, with machine learning algorithms embedded in streaming services, social media, and healthcare. Yet, bringing this innovative technology into use poses significant social and ethical challenges. Absent ethical development standards, such systems have the potential to compromise individual autonomy, privacy, equity, and even impact human rights. Given the necessity for ethical practices and effective AI governance—such as adhering to ethical principles, guidelines, and employing technical tools—a question arises regarding the ability of technical personnel to implement these measures effectively. Thus, we propose a categorization that delineates the various stages of the AI life cycle, the overarching ethical principles that should guide their implementation, and the resources that can ensure adherence to these principles, including both technical and conceptual tools. Additionally, this categorization will provide details such as developmental stage, relevant tasks, applications, and language. Our research, grounded in a systematic review that unearthed 352 resources and tools, aims to support ethical AI development for developers and project leaders. The full categorization and resource list are accessible at https://ricardo-ob.github.io/tools4responsibleai."
"Opportunities, challenges, and benefits of AI innovation in government services: a review","Artificial intelligence (AI) has gained recognition as a valuable asset across various industries and shows significant potential for government, society, and the economy. Nonetheless, the lack of a clear consensus on the definition and boundaries of AI obstructs its effective application in government contexts. This article delves into the diverse methodologies, focal points, and objectives within AI, underscoring its capacity to augment human capabilities in vital scenarios. Given the current benefits and increased efficiency achieved through AI adoption in pioneering government agencies, this study investigates the potential advantages and limitations of AI use in the public sector. By addressing the interdisciplinary challenges of public AI applications, such as language barriers and service delays, the study underscores the necessity for a comprehensive understanding of the risks, obstacles, and incentives associated with utilizing AI for government services. The study aims to shed light on the ultimate goals of AI research, including object manipulation, natural language processing, and reasoning. By evaluating the pros and cons of AI in the public sector, this study highlights the potential for enhanced productivity, streamlined processes, and reduced responsibilities. Additionally, organizational theory is employed as a framework to address challenges and capitalize on opportunities related to AI implementation. This theoretical approach helps to understand the benefits, prospects, and difficulties of integrating AI into government services. The findings of the research provide insights into how AI can revolutionize public service delivery by fostering innovation and boosting efficiency. The study addresses crucial questions about the role of organizational theory in facilitating government AI adoption, the challenges faced by governments in incorporating AI, and the potential benefits AI could bring to public service delivery. The research advocates for a strategic approach to AI in the public sector, taking into account organizational, ethical, and societal factors while acknowledging AI's transformative potential in enhancing government service delivery."
Recent progress in organic waste recycling materials for solar cell applications,"Organic waste-derived solar cells (OWSC) represent a segment of third-generation photovoltaic cells where one or more components are produced from organic waste. They serve as an inspiring adjunct to traditional third-generation solar cells, holding promise for a transformative impact on future solar cell production methods. This article examines and synthesizes information on OWSCs. The advantages of OWSCs include their affordability in production and their eco-friendliness. The review addresses various organic waste materials, the processes from preparation to assembly, and innovative solar cell manufacturing techniques. Strategies for enhancing the performance of OWSCs are discussed. Detailed comparisons of assembly designs and photovoltaic parameters of existing OWSCs are presented. The research trends over the past ten years regarding OWSCs are summarized. Furthermore, the pros and cons of different solar cell technologies are evaluated, and future trends are suggested. Industrial organic waste materials like paper, coal, and plastics, while less studied, present significant potential for solar cell creation. The power conversion efficiencies of the cited studies are highlighted, focusing on the products and roles of the organic waste materials used. Graphical Abstract."
